TERYT;TELEFON
0662011;825652070
0603042;825661089
0603052;825668002
0603062;825671551
0603072;825675494
0603000;825627501
0603152;825688159
0603011;825663277
0603082;825664211
0603092;825686033
0603102;825673012
0603112;825692202
0603122;825693266
0603132;825669102
0603142;825680182
0604022;846532524
0604032;846515447
0604011;846962380
0604042;846962681
0604052;846519004
0604000;846965068
0604062;846575059
0604072;846577266
0604082;846572005
0605012;158745134
0605022;158755132
0605032;158752215
0605042;158710002
0605053;158724330
0605063;158715079
0605072;158740204
0605000;158720309
0606022;815853002
0606032;846838156
0606042;846183034
0606011;825762157
0606052;825763753
0606062;825775511
0606072;825773004
0606000;825767286
0606092;846841123
0606102;825759281
0606112;846831676
0607023;158613061
0607032;818221006
0607042;158381105
0607011;818251572
0607052;818843427
0607000;818255899
0607062;158714130
0607072;158731879
0607082;818225030
0607092;818212001
0607102;818215002
0608022;818525001
0608032;818575041
0608042;818578001
0608052;818527039
0608063;818591004
0608011;818552273
0608072;818553586
0608082;818566001
0608092;818512004
0608103;818520003
0608112;818562002
0608000;818552865
0608122;818550450
0608132;818523045
0609013;815172724
0609022;815111702
0609033;815660004
0609042;815018063
0609052;817518760
0609062;815610570
0609072;815020425
0609082;815031081
0609092;815664051
0609102;815175085
0609112;817561521
0609000;815286603
0609122;815666025
0609132;815177353
0609142;817464844
0609152;846806206
0609162;846809700
0663011;814661000
0610012;825677003
0610022;817570901
0610033;815358600
0610042;817572026
0610000;815315200
0610052;817575012
0610062;817577048
0611032;257553167
0611042;257551006
0611011;257983001
0611052;257982439
0611000;257982203
0611062;257554502
0611072;257981104
0611021;257970001
0611082;257970047
0611092;257960355
0611102;257554101
0611112;257542522
0612012;818277310
0612022;818288320
0612032;818287026
0612042;818276920
0612053;818277201
0612063;818204836
0612000;818272260
0612072;818281002
0613012;833557008
0613022;833560006
0613032;833567002
0613043;833551224
0613052;833795011
0613000;833551470
0613062;833547001
0613072;825912152
0614022;818834027
0614032;818815800
0614043;818810212
0614052;818816201
0614062;818811151
0614072;818818070
0614083;815014500
0614000;818861100
0614011;814586001
0614092;818874121
0614102;818825072
0614112;818814226
0615022;818574208
0615032;833513003
0615042;833722010
0615052;833535004
0615000;833527400
0615011;833512460
0615062;834131800
0615072;833518069
0615082;833530003
0616011;818830001
0616022;257543199
0616032;818661018
0616000;818657450
0616043;818657110
0616052;818663038
0616062;818667004
0617022;817597700
0617033;815821020
0617000;814687101
0617042;815844460
0617011;817517609
0617052;815856018
0618022;846652182
0618032;846634522
0618042;846630225
0618052;846617002
0618063;846611508
0618000;846643535
0618072;846471103
0618082;846654893
0618092;846624710
0618102;846613110
0618011;846643740
0618112;846643085
0618123;846612121
0618132;846616004
0619022;833798016
0619032;825714028
0619000;825725690
0619042;825710125
0619052;825713024
0619011;825721444
0619062;825721234
0619072;825915003
0619082;825913003
0620012;846186102
0620022;846512474
0620032;846153102
0620043;846607691
0620052;846113019
0620062;846180005
0620072;846312727
0620000;845300911
0620082;846818001
0620092;846113940
0620102;846213670
0620112;846164231
0620122;846826202
0620133;846821095
0620142;846392959
0664011;846392084
0620153;846872011
0600000;814416600
0801022;957510210
0801032;957287650
0801042;957216660
0801011;957278100
0801052;957277130
 0801000;957330400
0801062;957287510
0801073;957216440
0861011;957355500
0802022;683919200
0802032;683915796
0802042;683835148
0802011;684558100
0802052;683591640
0802063;684109700
0802072;683831321
0802000;683830218
0803012;957436610
0803023;957426930
0803000;957428410
0803032;957494310
0803042;957492310
0803053;957216510
0803063;957431400
0804023;683884022
0804032;683524177
0804043;683555940
0804011;684590300
0804052;683872016
0804063;683888154
0804072;683559400
0804000;684586800
0804082;683883218
0805013;683911440
0805022;957591211
0805033;957576029
0805000;957592010
0805043;957596254
0805053;957372000
0806013;957611001
0806023;957620202
0806000;957632380
0806032;957615052
0806043;957631130
0806052;957617580
0807012;957573161
0807023;957557052
0807000;957555243
0807032;957572271
0807043;957553601
0807053;683413012
0808012;683813021
0808022;683412186
0808000;684755308
0808032;683419213
0808042;683410700
0808053;684750880
0808063;683849140
0812000;655404800
0812013;683558310
0812023;655492327
0812033;655408600
0862011;684564100
0809013;683512034
0809022;683523332
0809033;683278041
0809043;683525131
0809053;683290962
0809000;684527575
0809063;683851100
0809072;683273115
0809082;683514131
0809092;683218300
0810032;683771610
0810011;683601076
0810043;683681400
0810053;683769027
0810062;683781038
0810000;684777901
0810073;683763811
0810082;683604045
0810021;684771040
0810092;683777021
0811032;683712205
0811043;684578872
0811052;683626230
0811063;684576101
0811011;683624700
0811000;684790600
0811072;683623287
0811082;683756822
0811092;683625720
0811021;684708300
0811102;684707300
0800000;684565200
1010012;447560027
1020043;422700300
1006022;422132440
1002022;242821420
1001022;446325211
1001011;447335116
1016022;447257010
1017012;438419090
1013023;468159377
1007012;447581414
1005022;468382695
1014023;438290932
1018012;627836083
1015012;468380305
1014032;438211778
1006032;422950111
1021022;468743699
1021011;468742224
1014042;438203026
1003012;436774011
1016032;447102389
1014052;438214095
1005032;468381423
1013032;468152429
1010022;446165169
1017022;438416805
1018022;627843111
1016042;447104500
1011012;436780123
1004022;243890400
1002032;242522592
1008032;446340521
1021032;468746294
1008042;436772683
1012022;446811193
1005042;468383522
1001032;446311079
1007023;483756091
1009013;848413177
1018032;627838618
1012032;343272027
1020052;427191291
1020011;427191151
1015022;468157530
1015032;468311140
1012042;446842485
1010032;446818006
1014062;438297051
1004032;243892400
1010042;446161125
1004042;632734121
1016052;447101233
1021042;468755371
1012053;446817123
1009022;438425028
1005052;242779080
1001042;447313110
1014072;438208493
1001052;446315002
1012062;446814412
1005062;468384825
1012072;446819325
1006073;447256700
1017032;438424419
1008011;422111173
1015042;468317026
1002043;242523024
1002052;243562902
1008052;422138050
1002062;243557020
1002011;242542417
1012082;446801381
1015052;468316197
1016062;447103510
1008062;436775011
1018042;438714052
1012092;446840895
1002072;243567400
1003023;436768300
1004052;243882117
1004011;247210342
1010052;447875325
1005072;468302630
1005011;468309151
1061011;426384444
1018052;627847027
1005082;468388778
1015062;468312017
1012102;447874616
1007032;447561522
1017042;438863277
1010062;446169625
1005092;468385665
1009032;343119670
1002082;243561400
1006082;426164500
1015072;462885910
1007043;447860100
1002092;243831150
1017052;438243391
1017062;438415026
1020062;422771444
1020021;427103100
1008072;422139660
1008021;422254600
1009043;343112123
1007052;447584082
1020072;427286095
1017072;438865220
1011022;436781519
1004062;247221158
1062011;447327701
1011033;436782580
1007062;447564034
1001000;446358600
1021000;468741111
1002000;243554780
1003000;436756800
1004000;243887200
1005000;468375902
1006000;426337191
1007000;447414900
1008000;422254000
1009000;343113120
1010000;447328800
1011000;436787800
1012000;446834509
1013000;468144631
1014000;438220501
1015000;468345915
1016000;447242127
1017000;438434280
1018000;627813370
1019000;438232204
1020000;422888100
1012113;447812261
1012122;446832707
1012011;446854500
1013042;468144241
1013011;468144711
1013052;468131623
1010072;447813269
1021052;468748070
1016072;447195940
1010082;446158068
1001062;436766011
1009052;446317122
1016082;447105111
1006103;422141210
1013062;468156191
1003032;436771157
1009062;438417217
1014082;438275550
1014011;438266165
1063011;468345100
1015082;468195600
1017082;438864477
1007072;447551850
1015092;468315591
1018062;627845159
1020083;427198002
1002102;243566601
1009072;343110778
1010093;446102501
1009082;446846056
1019023;438215004
1001072;446318050
1004072;632881021
1016092;447245573
1016011;447242311
1006113;426143069
1016102;447192123
1011043;632889740
1014093;438287100
1011052;436785105
1003042;436721034
1012132;447871087
1017093;438860234
1018073;627832610
1017102;438866113
1004082;243564710
1003052;436773322
1000000;426633000
1010102;446163961
1010113;446164241
1014102;438286600
1011062;436786160
1019032;438231982
1005102;468387426
1019042;438234120
1019011;438250201
1001083;446341000
1020092;427162515
1020031;427162854
1014113;438202270
1007082;447577055
1016112;447122712
1002113;243512033
1012142;343277001
1201011;146149100
1201022;146901120
1201032;122849811
1201042;146852100
1201052;146853901
1201063;146850912
1201000;146153700
1201072;146858600
1201082;146484420
1201092;146484520
1202012;146846370
1202023;146863100
1202033;146621710
1202042;146318560
1202052;146869600
1202062;146844010
1202000;146633111
1202072;146714455
1203013;122831240
1203022;326134013
1203033;327585000
1203043;326249201
1203000;326257995
1203053;326121227
1204012;146415018
1204023;146422775
1204032;146416002
1204042;146442412
1204052;146411070
1204000;146422431
1204062;146414139
1204073;146436278
1205023;134471113
1205033;183514300
1205011;183551211
1205042;183535762
1205052;134477021
1205062;183543039
1205072;183541300
1205000;183535380
1205082;183534014
1205092;183518016
1205102;183516042
1206012;122702104
1206022;122874003
1206032;123884003
1206042;123895247
1206052;123871410
1261011;126161200
1206063;122520800
1206072;122806241
1206082;123885740
1206092;122701013
1206000;126344266
1206103;123891098
1206113;122770100
1206123;123881102
1206132;123896028
1206143;122704030
1206152;124191703
1206162;122852116
1206172;122850850
1207032;183330020
1207042;183321251
1207052;183323004
1207062;183300210
1207011;183372054
1207072;183372252
1207082;183335021
1207021;183310417
1207092;183310009
1207102;183317002
1207000;183337800
1207112;183326200
1207122;183325637
1208012;413836110
1208022;123886029
1208032;413841048
1208042;413838002
1208053;413830040
1208000;413821110
1208062;413844016
1208072;413847900
1209013;123721700
1209022;182682017
1209033;126392300
1209042;122748050
1209000;122749740
1209052;123725203
1209062;123721800
1209073;122732075
1209082;122747022
1209092;122714086
1210022;184145610
1210032;184401035
1210011;184450140
1210042;184450204
1210052;184456017
1210062;184406610
1210073;184725555
1210082;184711227
1210092;184140710
1210102;184714009
1210113;184725910
1210122;184457067
1210133;184464043
1210142;184459033
1210000;184141600
1210152;184469040
1210163;184660270
1211032;182613540
1211042;182750070
1211052;182611121
1211062;182623077
1211072;182634595
1211082;182659310
1211011;182611242
1211092;182632200
1211102;182620910
1211000;182661300
1211112;182691250
1211123;182692000
1211132;182688370
1211142;182754703
1211023;182622203
1262011;184435308
1212032;326424501
1212011;326261831
1212042;326428508
1212053;326260104
1212000;326430414
1212062;123894019
1212073;326441260
1213023;327728500
1213033;338449010
1213043;338447600
1213052;338458261
1213011;338429100
1213062;338449500
1213072;338488008
1213000;338449600
1213082;338413294
1213093;338412215
1214012;123869039
1214022;413514048
1214033;123852094
1214042;413848037
1214000;123861846
1214053;123861005
1214062;123856244
1215032;338740032
1215042;182681220
1215011;182691700
1215052;182687600
1215063;338749724
1215000;338757800
1215072;338747272
1215021;338749500
1215082;338775015
1215092;338746002
1216013;146285800
1216022;146514250
1216032;146784886
1216042;146292820
1216000;146883300
1216053;146782044
1216063;146443635
1216072;146530501
1216082;146887000
1216162;146517300
1216092;146880172
1216103;146525176
1216112;146319012
1216122;146418045
1216133;146790108
1216143;146326460
1216153;146456012
1263011;146882400
1217022;182073197
1217032;182000870
1217042;182079100
1217052;182074112
1217000;182017100
1217011;182020400
1218013;338752360
1218022;338792029
1218033;338766218
1218042;338763569
1218052;338761483
1218000;338734250
1218062;338791876
1218072;338797412
1218082;338233598
1218093;338731811
1218102;338755118
1219012;122897070
1219022;122514166
1219032;122841100
1219043;122509434
1219000;123999800
1219053;122634100
1200000;126303333
1416022;862717003
1420032;236611091
1415012;297613776
1405032;468581351
1406012;486611271
1401013;486132572
1429022;257878013
1419012;242650100
1437013;236578056
1406022;486680010
1432013;227254555
1419022;242607006
1416032;862775003
1423012;486757910
1403032;256859070
1435012;295929310
1428022;227257003
1416043;297457554
1419032;242604013
1421033;227382612
1419042;242652013
1412042;257595948
1417032;227897060
1429032;257870779
1430012;486287053
1422023;297516540
1409012;483751032
1406032;486615700
1402011;236749200
1402022;236722646
1409022;483788080
1415022;297727017
1422032;236746215
1415032;297614567
1420042;242315861
1411022;297179505
1414022;227850002
1434052;297578002
1412052;257564700
1435022;296423650
1412062;257571190
1426012;256312982
1419053;242601441
1420052;236615904
1413022;236533012
1407012;486210194
1403011;257864242
1403042;256820560
1419063;242674150
1423022;486720011
1402033;236740017
1407022;486231075
1407032;486215003
1402042;236716020
1404011;242360710
1404022;242360750
1406042;486632260
1415042;297614043
1427022;242762112
1418013;227273411
1403052;256812254
1425022;483202097
1407042;486627014
1433022;257930040
1405043;227555534
1406053;486642301
1402052;236715012
1424012;236913122
1412073;227836020
1410012;833580123
1428032;242675080
1425033;486163135
1432022;227228930
1408022;227677300
1429042;227871023
1434062;256754044
1405052;468564026
1412082;257579190
1406062;486613570
1430022;486284860
1425042;483840505
1425052;483213021
1425062;483848470
1422042;297517030
1420062;236616041
1417011;227790000
1415052;297618016
1412093;257576618
1432032;227250040
1417043;227806083
1411032;296911013
1436012;486766033
1434072;297538800
1423032;486710010
1434011;227607008
1417052;257573992
1418023;227564810
1426022;256312022
1433032;256612284
1429053;257879105
1426032;256414383
1425072;486101760
1407053;486117100
1422052;236710017
1411042;297175073
1422062;297512720
1437022;236576259
1412102;257521065
1408011;227742031
1415062;297611981
1414032;227856600
1432042;227258005
1418032;227579340
1413032;236555029
1409033;483780048
1433042;257922821
1437032;236582078
1437042;236581001
1403021;256845250
1403062;256845024
1419072;243841400
1433053;256437800
1432053;227686324
1410023;833573542
1415072;297725027
1403072;256825737
1407062;486217025
1411011;297171002
1419082;242697960
1416052;296448000
1434021;227811003
1403082;257511286
1421042;223509191
1433062;256918327
1405011;227583061
1412011;257595311
1412112;257562500
1430032;486283889
1413011;236543382
1428042;468641750
1411052;297680062
1427032;242763333
1406073;486635149
1426042;256411315
1426053;256415402
1412123;257574190
1438023;468582820
1415083;297721141
1421052;227298185
1420072;236631051
1414043;236933000
1408032;227670400
1428052;468612051
1420082;236614920
1406083;486741098
1419092;242610272
1414011;225122000
1416062;862779900
1424022;297411004
1423042;486716057
1402062;236718320
1410032;833575123
1415092;297613107
1402072;236736110
1430042;486185900
1417062;256857026
1461011;297646811
1416011;296795450
1416072;297468600
1417021;227792001
1432063;227222207
1404032;242858054
1426062;256312110
1403092;256855319
1418043;227017500
1421011;227705200
1403103;256856110
1425011;483414200
1425082;486121514
1410042;833578447
1462011;243645555
1411062;297178061
1420011;236622691
1420092;236625635
1406092;486686494
1405021;227592100
1424032;236918721
1436022;486770039
1414052;227652724
1434082;257520380
1423052;486713046
1401000;486133414
1402000;236723485
1403000;256843010
1404000;242357981
1405000;227241833
1406000;486651100
1407000;486117300
1408000;227640100
1409000;483783011
1410000;833590334
1411000;297173660
1412000;257598700
1413000;236543409
1414000;227653200
1415000;297643645
1416000;296457101
1417000;227781300
1418000;227572051
1419000;242676800
1420000;236624039
1421000;227381400
1422000;297522270
1423000;486752352
1424000;233067101
1425000;483655801
1426000;256447216
1427000;242759100
1428000;468641840
1429000;257817400
1430000;486177000
1432000;227337200
1433000;257409200
1434000;227874301
1435000;297435900
1436000;486763389
1437000;236574700
1438000;468553717
1418052;227270177
1401022;486133628
1421021;227358888
1422011;297564900
1422072;297522709
1426072;256412322
1436032;486773016
1423063;486752219
1425092;486180087
1424043;236920391
1438032;468318169
1420021;236791163
1420102;236791280
1463011;483620419
1419102;242613497
1401032;486136362
1413042;236798035
1438042;468577171
1434093;226676767
1421062;227017777
1402082;236811756
1429062;257875023
1427042;242764076
1411073;297679120
1423072;486727022
1428062;468611438
1435032;295929260
1409042;486167024
1415102;297617301
1411082;297613409
1429072;257874190
1433072;256753308
1404042;242777810
1410052;833599198
1408043;227828805
1407072;486216008
1426082;256327731
1464011;256430700
1437052;236796176
1412132;257572020
1409052;483786011
1427011;242758686
1427052;242755701
1425103;486103089
1426092;256312861
1419112;242778077
1419122;242679560
1417072;256858090
1403112;256825023
1428011;468622235
1428072;468642600
1420112;236618001
1429011;257817500
1429082;257812610
1409062;483761266
1435042;297418790
1402092;236713085
1412142;257575858
1419132;243668710
1401042;483857790
1410062;833587822
1432072;227229581
1419142;242663080
1416082;296446422
1429092;257870004
1433082;256919020
1434102;257562828
1401052;486191020
1413052;236794004
1413062;236531254
1426102;256314515
1412151;227606221
1411092;297177783
1404052;242351372
1427062;242767167
1411102;297176001
1413072;236534038
1416092;864754075
1430053;486178630
1413082;236554019
1424052;236916045
1418063;227157900
1436042;486768023
1428082;468613815
1434113;297573016
1403122;256827120
1415112;297671041
1406113;486651200
1465011;224431000
1416102;296458000
1433011;257922326
1417082;225125800
1413092;236540004
1408052;227822732
1423082;486730001
1425112;486183600
1433092;257934495
1403132;256853070
1424062;236914092
1438052;468545010
1426112;256417313
1413102;236557024
1426122;256312658
1400000;225979100
1425122;486186020
1434123;227633000
1435053;297424201
1419153;242672600
1401063;486157003
1435062;297571228
1414063;227852145
1425132;486105122
1420122;236619013
1416112;862706004
1424072;297410394
1427072;242766101
1434031;225109700
1426132;256416390
1434041;227613971
1436053;486762210
1405062;468578181
1403143;257541144
1437063;236572558
1438011;468581500
1601011;774169970
1601033;774040300
1601043;774246600
1601052;774118630
1601062;774129682
1601000;774447900
1601022;774046600
1602013;774036920
1602022;774868228
1602033;774852325
1602043;774854356
1602000;774053660
1603022;774872266
1603032;774871159
1603011;774050311
1603042;774036461
1603052;774801460
1603000;774833108
1603062;774820350
1604013;774134216
1604023;774181481
1604032;774175470
1604000;774185218
1604043;774188340
1605013;774076800
1605023;774466800
1605000;774074300
1605032;774076660
1605042;774667540
1605053;774064400
1606012;774108250
1606023;774190304
1606032;774693080
1606000;774103695
1606042;774196179
1606052;774195511
1607013;774092100
1607022;774312135
1607033;774343820
1607042;774311300
1607053;774080500
1607063;774315016
1607073;774316791
1607082;774357614
1607000;774085070
1607092;774318082
1608013;343575100
1608023;343505710
1608033;343597842
1608000;343597833
1608043;343591009
1608052;343599004
1608062;343595072
1608072;774216076
1661011;774511800
1609012;774219696
1609022;774641010
1609032;774695525
1609042;774031700
1609052;774270533
1609062;774214034
1609073;774606295
1609083;774622810
1609092;774692027
1609000;775415101
1609103;774013700
1609112;774640850
1609122;774600143
1609132;774212012
1610013;774388531
1610023;774069900
1610032;774074650
1610000;774381700
1610043;774066200
1611012;774617260
1611022;774623500
1611033;774611140
1611043;774615281
1611000;774401700
1611053;774049300
1611063;774048750
1611073;774623100
1600000;775416410
1801032;134619009
1801052;134610013
1801000;134712500
1801083;134608000
1802013;134341050
1802022;134347041
1802032;134303002
1802042;134391002
1802052;134306033
1802062;134398020
1802000;134342645
1803023;146803026
1803032;146761030
1803011;146838100
1803042;146803310
1803052;146833053
1803063;146721036
1803000;146803100
1803072;146807121
1804032;166240000
1804011;166248700
1804042;166248610
1804052;166285046
1804062;166220380
1804000;166246200
1804073;166236114
1804021;166282417
1804082;166281138
1804092;166221391
1804102;166225822
1804112;166223631
1805022;134460105
1805032;134413728
1805011;134486300
1805042;134436669
1805053;134460221
1805062;134414045
1805072;134415605
1805082;134420005
1805000;134463189
1805092;134491062
1805112;134424089
1806012;172837702
1806062;177442109
1806023;172271333
1806032;158471074
1806042;172279341
1806000;177445771
1806052;172285034
1807012;134313083
1807023;134329100
1807033;134350212
1807102;134310581
1807043;134484710
1807052;134354080
1861011;134367543
1807062;134315190
1807072;134353012
1807000;134375700
1807083;134355006
1807092;134385016
1821012;134684077
1821022;134686338
1821033;134698001
1821042;134617045
1821000;134697124
1821052;134692118
1808022;172428265
1808032;172438010
1808011;172427333
1808042;172406200
1808053;172413177
1808000;172404500
1809023;166311076
1809032;166313455
1809011;166328010
1809042;166321684
1809053;166317087
1809063;166315010
1809000;166328700
1809072;166318050
1809082;166310126
1810022;172245227
1810032;172262324
1810011;172252202
1810042;172252264
1810052;172265352
1810000;172257000
1810062;172261281
1810072;172243018
1811022;175815516
1811032;177741922
1811042;177744282
1811011;177888500
1811052;177730590
1811062;158514460
1811000;177800400
1811073;175813119
1811083;146819121
1811092;177743720
1811102;146669751
1812012;158791306
1812022;158713141
1812032;158794304
1812042;158798352
1812053;158415643
1812000;158412700
1812063;158761002
1812073;158763041
1813012;166726091
1813022;166511156
1813032;166719817
1813042;166718370
1813052;166711486
1813062;166715391
1813072;166712693
1813000;166785054
1813082;166704800
1862011;166786820
1813092;167354003
1813102;166713378
1814022;166229001
1814032;166411429
1814042;166514014
1814053;166423142
1814000;166487009
1814011;166487844
1814062;166487397
1814073;166227301
1814082;166421221
1814092;166401528
1815012;177455950
1815022;177451160
1815000;172218306
1815033;172210510
1815043;172216001
1815052;172214819
1816023;172297119
1816033;178755200
1816042;172296606
1816011;166521093
1816052;166521257
1816063;177897010
1816072;172304560
1816082;178556776
1816092;172300200
1816102;178503914
1816000;178671463
1863011;177889900
1816113;177729019
1816122;178670100
1816132;177713700
1816143;172219310
1817022;134673061
1817032;134674015
1817042;134677035
1817000;134652900
1817011;134652811
1817052;134656551
1817062;134656931
1817073;134622062
1817082;134671001
1818022;158708324
1818000;156433709
1818032;158410004
1818042;158454302
1818011;156433456
1818053;158738476
1818062;158459419
1819012;177172100
1819022;172777110
1819032;172773002
1819000;172765000
1819043;172761354
1819052;172775063
1820013;158118581
1820022;158362075
1820032;158112715
1820043;158462671
1820000;153067010
1864011;158226570
1800000;178501700
2001011;876434212
2001022;876433767
2001032;876424091
2001043;876422700
2001052;876419520
2001062;876439080
2001000;876439650
2001072;876439750
2002013;857132200
2002023;857131350
2002032;857428155
2002042;857180698
2002052;857132880
2002063;857152251
2002073;857131773
2002082;856501314
2002000;857403952
2002093;857132702
2002103;856503598
2002112;857158000
2002123;857181627
2002133;857185400
2002143;857188100
2002152;857140028
2061011;858696001
2003011;857318103
2003032;857306851
2003042;857319610
2003021;857375362
2003052;857375031
2003062;857305787
2003000;858332616
2003072;857305850
2003082;857305890
2004011;862730802
2004022;862723000
2004000;862738400
2004032;862737110
2004043;862721940
2004053;862735080
